time          sumaConjunto
0,000 seconds           11

0,002 seconds           21

0,001 seconds           31

0,001 seconds           41

0,002 seconds           51

0,004 seconds           61

0,002 seconds           71

0,002 seconds           81

0,004 seconds           91

0,003 seconds           101

0,005 seconds           111

0,005 seconds           121

0,007 seconds           131

0,006 seconds           141

0,005 seconds           151

0,006 seconds           161

0,006 seconds           171

0,006 seconds           181

0,009 seconds           191

0,007 seconds           201

0,008 seconds           211

0,012 seconds           221

0,009 seconds           231

0,010 seconds           241

0,014 seconds           251

0,014 seconds           261

0,015 seconds           271

0,027 seconds           281

0,024 seconds           291

0,019 seconds           301

0,018 seconds           311

0,024 seconds           321

0,020 seconds           331

0,022 seconds           341

0,038 seconds           351

0,047 seconds           361

0,033 seconds           371

0,030 seconds           381

0,031 seconds           391

0,043 seconds           401

0,034 seconds           411

0,035 seconds           421

0,041 seconds           431

0,069 seconds           441

0,076 seconds           451

0,062 seconds           461

0,049 seconds           471

0,048 seconds           481

0,051 seconds           491

0,083 seconds           501

0,057 seconds           511

0,058 seconds           521

0,061 seconds           531

0,081 seconds           541

0,119 seconds           551

0,106 seconds           561

0,068 seconds           571

0,071 seconds           581

0,073 seconds           591

0,077 seconds           601

0,096 seconds           611

0,081 seconds           621

0,085 seconds           631

0,092 seconds           641

0,136 seconds           651

0,200 seconds           661

0,098 seconds           671

0,098 seconds           681

0,102 seconds           691

0,106 seconds           701

0,156 seconds           711

0,108 seconds           721

0,108 seconds           731

0,114 seconds           741

0,116 seconds           751

0,179 seconds           761

0,125 seconds           771

0,129 seconds           781

0,128 seconds           791

0,200 seconds           801

0,136 seconds           811

0,139 seconds           821

0,144 seconds           831

0,192 seconds           841

0,150 seconds           851

0,151 seconds           861

0,252 seconds           871

0,158 seconds           881

0,160 seconds           891

0,161 seconds           901

0,176 seconds           911

0,150 seconds           921

0,155 seconds           931

0,165 seconds           941

0,159 seconds           951

0,243 seconds           961

0,163 seconds           971

0,167 seconds           981

0,198 seconds           991

0,177 seconds           1001

0,283 seconds           1011

0,179 seconds           1021

0,187 seconds           1031

0,203 seconds           1041

0,194 seconds           1051

0,225 seconds           1061

0,200 seconds           1071

0,229 seconds           1081

0,207 seconds           1091

0,225 seconds           1101

0,337 seconds           1111

0,217 seconds           1121

0,254 seconds           1131

0,226 seconds           1141

0,234 seconds           1151

0,266 seconds           1161

0,352 seconds           1171

0,242 seconds           1181

0,254 seconds           1191

0,267 seconds           1201

0,269 seconds           1211

0,279 seconds           1221

0,291 seconds           1231

0,295 seconds           1241

0,288 seconds           1251

0,414 seconds           1261

0,337 seconds           1271

0,457 seconds           1281

0,330 seconds           1291

0,357 seconds           1301

0,480 seconds           1311

0,459 seconds           1321

0,473 seconds           1331

0,442 seconds           1341

0,502 seconds           1351

0,517 seconds           1361

0,523 seconds           1371

0,529 seconds           1381

0,535 seconds           1391

0,536 seconds           1401

0,543 seconds           1411

0,474 seconds           1421

0,505 seconds           1431

0,629 seconds           1441

0,630 seconds           1451

0,490 seconds           1461

0,552 seconds           1471

0,617 seconds           1481

0,697 seconds           1491

0,513 seconds           1501

0,573 seconds           1511

0,676 seconds           1521

0,672 seconds           1531

0,534 seconds           1541

0,663 seconds           1551

0,578 seconds           1561

0,694 seconds           1571

0,680 seconds           1581

0,750 seconds           1591

0,779 seconds           1601

0,569 seconds           1611

0,745 seconds           1621

0,704 seconds           1631

0,633 seconds           1641

0,744 seconds           1651

0,753 seconds           1661

0,770 seconds           1671

0,781 seconds           1681

0,888 seconds           1691

0,854 seconds           1701

0,626 seconds           1711

0,857 seconds           1721

0,776 seconds           1731

0,831 seconds           1741

0,926 seconds           1751

0,871 seconds           1761

0,873 seconds           1771

0,915 seconds           1781

0,958 seconds           1791

0,906 seconds           1801

0,889 seconds           1811

1,013 seconds           1821

0,909 seconds           1831

0,944 seconds           1841

0,973 seconds           1851

0,959 seconds           1861

1,000 seconds           1871

0,999 seconds           1881

1,004 seconds           1891

1,037 seconds           1901

1,093 seconds           1911

1,031 seconds           1921

0,966 seconds           1931

1,077 seconds           1941

1,086 seconds           1951

1,131 seconds           1961

1,123 seconds           1971

1,147 seconds           1981

1,119 seconds           1991

1,116 seconds           2001

1,201 seconds           2011

1,112 seconds           2021

1,103 seconds           2031

1,109 seconds           2041

1,189 seconds           2051

1,141 seconds           2061

1,139 seconds           2071

1,224 seconds           2081

1,166 seconds           2091

1,234 seconds           2101

1,165 seconds           2111

1,253 seconds           2121

1,211 seconds           2131

1,271 seconds           2141

1,288 seconds           2151

1,234 seconds           2161

1,303 seconds           2171

1,268 seconds           2181

1,274 seconds           2191

1,302 seconds           2201

1,251 seconds           2211

1,263 seconds           2221

1,271 seconds           2231

1,272 seconds           2241

1,291 seconds           2251

1,288 seconds           2261

1,283 seconds           2271

1,330 seconds           2281

1,413 seconds           2291

1,319 seconds           2301

1,314 seconds           2311

1,438 seconds           2321

1,340 seconds           2331

1,415 seconds           2341

1,369 seconds           2351

1,434 seconds           2361

1,459 seconds           2371

1,398 seconds           2381

1,470 seconds           2391

1,499 seconds           2401

1,774 seconds           2411

1,726 seconds           2421

1,778 seconds           2431

1,754 seconds           2441

1,767 seconds           2451

1,452 seconds           2461

1,558 seconds           2471

1,960 seconds           2481

